Time,Well 116,Well 117,Well 126,Well 127,Well 136,Well 137,Well 146,Well 147,Well 156,Well 157,Well 166,Well 167,Well 176,Well 177,Well 186,Well 187
0:00:14,0.277,0.284,0.274,0.292,0.294,0.293,0.292,0.298,0.305,0.302,0.289,0.295,0.317,0.306,0.306,0.291
0:05:15,0.198,0.177,0.157,0.158,0.203,0.184,0.211,0.201,0.202,0.193,0.226,0.219,0.254,0.25,0.241,0.239
0:10:15,0.192,0.171,0.145,0.153,0.2,0.176,0.208,0.196,0.198,0.185,0.217,0.221,0.25,0.245,0.239,0.236
0:15:15,0.188,0.169,0.143,0.148,0.2,0.179,0.211,0.197,0.197,0.184,0.218,0.211,0.252,0.246,0.239,0.236
0:20:15,0.189,0.173,0.147,0.152,0.205,0.181,0.206,0.194,0.198,0.185,0.217,0.207,0.254,0.248,0.24,0.238
0:25:15,0.197,0.179,0.154,0.163,0.21,0.182,0.209,0.196,0.198,0.186,0.219,0.212,0.254,0.249,0.239,0.237
0:30:15,0.182,0.162,0.136,0.146,0.193,0.17,0.195,0.183,0.185,0.173,0.206,0.199,0.25,0.242,0.233,0.232
0:35:15,0.194,0.175,0.145,0.155,0.198,0.178,0.204,0.193,0.191,0.179,0.216,0.21,0.252,0.248,0.238,0.235
0:40:15,0.195,0.171,0.144,0.153,0.197,0.181,0.199,0.192,0.188,0.177,0.215,0.209,0.252,0.248,0.236,0.235
0:45:15,0.199,0.178,0.147,0.151,0.201,0.185,0.196,0.186,0.187,0.177,0.214,0.209,0.251,0.246,0.235,0.233
0:50:15,0.173,0.15,0.125,0.131,0.172,0.148,0.174,0.166,0.155,0.145,0.18,0.171,0.241,0.236,0.22,0.218
0:55:15,0.173,0.15,0.122,0.125,0.167,0.143,0.174,0.157,0.154,0.142,0.178,0.172,0.239,0.234,0.218,0.217
1:00:15,0.168,0.146,0.113,0.119,0.159,0.14,0.165,0.152,0.153,0.14,0.181,0.172,0.241,0.233,0.219,0.217
1:05:15,0.164,0.145,0.11,0.116,0.157,0.137,0.166,0.15,0.152,0.138,0.179,0.172,0.241,0.234,0.22,0.219
1:10:15,0.164,0.144,0.108,0.114,0.158,0.138,0.167,0.153,0.149,0.137,0.172,0.167,0.238,0.233,0.215,0.214
1:15:15,0.17,0.15,0.113,0.123,0.161,0.14,0.176,0.159,0.157,0.142,0.174,0.166,0.242,0.235,0.22,0.219
1:20:15,0.193,0.179,0.148,0.16,0.194,0.17,0.186,0.177,0.187,0.178,0.218,0.215,0.253,0.249,0.237,0.234
1:25:15,0.167,0.149,0.11,0.117,0.161,0.136,0.171,0.156,0.152,0.141,0.178,0.167,0.244,0.238,0.22,0.219
1:30:15,0.168,0.148,0.116,0.121,0.156,0.138,0.169,0.158,0.155,0.142,0.177,0.167,0.244,0.238,0.222,0.221
1:35:15,0.167,0.145,0.109,0.115,0.152,0.139,0.173,0.156,0.156,0.144,0.176,0.166,0.242,0.237,0.22,0.219
1:40:15,0.171,0.148,0.109,0.118,0.156,0.137,0.171,0.157,0.157,0.144,0.177,0.168,0.241,0.235,0.217,0.217
1:45:15,0.166,0.149,0.109,0.118,0.155,0.134,0.167,0.153,0.157,0.147,0.176,0.172,0.243,0.238,0.221,0.22
1:50:15,0.166,0.147,0.11,0.12,0.153,0.136,0.167,0.154,0.152,0.141,0.175,0.171,0.238,0.233,0.228,0.228
1:55:15,0.176,0.155,0.114,0.121,0.169,0.149,0.175,0.159,0.158,0.148,0.181,0.175,0.244,0.238,0.221,0.22
2:00:15,0.177,0.154,0.115,0.122,0.163,0.143,0.174,0.155,0.16,0.146,0.181,0.171,0.243,0.237,0.221,0.219
2:05:15,0.176,0.155,0.118,0.125,0.162,0.142,0.17,0.155,0.155,0.144,0.179,0.17,0.243,0.237,0.22,0.219
2:10:15,0.172,0.147,0.106,0.116,0.152,0.133,0.171,0.151,0.155,0.144,0.175,0.167,0.243,0.236,0.22,0.218
2:15:15,0.165,0.142,0.102,0.113,0.152,0.134,0.166,0.146,0.156,0.146,0.169,0.162,0.241,0.235,0.22,0.22
2:20:15,0.171,0.153,0.106,0.113,0.155,0.138,0.17,0.151,0.155,0.145,0.175,0.169,0.242,0.236,0.219,0.218
2:25:15,0.163,0.143,0.106,0.116,0.153,0.132,0.168,0.146,0.153,0.143,0.172,0.164,0.241,0.233,0.218,0.216
2:30:15,0.169,0.148,0.107,0.115,0.159,0.139,0.169,0.148,0.154,0.143,0.171,0.161,0.24,0.234,0.217,0.216
2:35:15,0.164,0.144,0.105,0.114,0.159,0.135,0.166,0.148,0.151,0.139,0.169,0.163,0.236,0.23,0.217,0.217
2:40:15,0.17,0.149,0.107,0.116,0.16,0.138,0.171,0.155,0.152,0.139,0.172,0.164,0.24,0.233,0.217,0.216
